index,主題內容
1,"-0.474*""國王"" + -0.302*""星星"" + -0.291*""說道"" + -0.287*""命令"" + -0.246*""狐狸"" + -0.218*""回答"" + -0.201*""星球"" + -0.137*""地方"" + -0.121*""馴服"" + -0.102*""朋友"""
2,"0.630*""狐狸"" + -0.378*""國王"" + 0.319*""馴服"" + -0.218*""命令"" + 0.160*""玫瑰"" + 0.139*""朋友"" + 0.117*""時間"" + 0.108*""世界"" + 0.094*""東西"" + 0.084*""感到"""
3,"-0.640*""星星"" + 0.305*""國王"" + 0.278*""狐狸"" + 0.165*""命令"" + -0.156*""好像"" + 0.150*""馴服"" + -0.109*""小傢伙"" + -0.107*""嚴肅"" + -0.080*""正好"" + -0.077*""看著"""
4,"-0.657*""地理學家"" + -0.448*""探察"" + 0.191*""星星"" + -0.149*""短暫"" + -0.119*""海洋"" + -0.119*""老先生"" + -0.116*""星球"" + -0.096*""沙漠"" + -0.090*""熄滅"" + -0.090*""山脈"""
5,"-0.428*""猴麵包樹"" + -0.418*""星球"" + 0.245*""星星"" + 0.175*""地理學家"" + -0.154*""地方"" + 0.145*""國王"" + -0.140*""花兒"" + 0.126*""狐狸"" + -0.121*""說道"" + 0.120*""探察"""
6,"0.472*""點燈"" + 0.458*""路燈"" + 0.233*""命令"" + 0.233*""行星"" + 0.202*""休息"" + 0.161*""早上好"" + -0.135*""國王"" + 0.131*""點著"" + 0.123*""這顆"" + 0.117*""熄滅"""
7,"0.318*""猴麵包樹"" + -0.247*""說道"" + -0.245*""地方"" + -0.241*""沙漠"" + 0.240*""星球"" + 0.219*""星星"" + -0.127*""回答"" + -0.118*""看著"" + -0.108*""尋找"" + -0.108*""小傢伙"""
8,"-0.406*""花兒"" + 0.245*""朋友"" + 0.196*""房子"" + 0.188*""小行星"" + -0.185*""老虎"" + -0.168*""說道"" + -0.135*""朵花"" + 0.125*""漂亮"" + 0.123*""B612"" + 0.107*""小羊"""
9,"0.285*""猴麵包樹"" + -0.207*""花兒"" + -0.178*""朋友"" + 0.176*""回答"" + -0.174*""房子"" + -0.172*""小行星"" + -0.149*""發現"" + 0.139*""轆轤"" + -0.127*""B612"" + 0.115*""尋找"""
10,"-0.193*""沙漠"" + -0.187*""小東西"" + -0.152*""實業家"" + -0.149*""佔有"" + 0.131*""朋友"" + -0.129*""等於"" + 0.122*""緣故"" + 0.120*""好像"" + -0.119*""尋找"" + -0.115*""火山"""
11,"0.293*""沙漠"" + -0.213*""地方"" + 0.197*""房子"" + 0.195*""寶貝"" + 0.170*""看著"" + 0.148*""脆弱"" + -0.131*""肚皮"" + 0.128*""看不見"" + -0.117*""轆轤"" + 0.099*""水井"""
12,"-0.211*""虛榮"" + -0.190*""說道"" + 0.187*""轆轤"" + 0.180*""尋找"" + -0.160*""地方"" + 0.143*""花兒"" + -0.131*""帽子"" + 0.131*""找到"" + -0.117*""欽佩"" + 0.116*""房子"""
13,"-0.392*""虛榮"" + -0.223*""欽佩"" + -0.220*""帽子"" + -0.178*""致意"" + 0.144*""小傢伙"" + -0.137*""地球"" + 0.132*""地方"" + -0.119*""回答"" + -0.114*""星球"" + -0.110*""說道"""
14,"0.324*""虛榮"" + -0.255*""地球"" + 0.242*""帽子"" + 0.183*""欽佩"" + -0.173*""地方"" + 0.147*""致意"" + -0.142*""正經事"" + -0.112*""星球"" + -0.111*""螺絲"" + -0.101*""隨便"""
15,"-0.302*""扳道"" + -0.189*""工說"" + -0.159*""地球"" + 0.153*""正經事"" + -0.148*""地方"" + 0.141*""回答"" + -0.128*""說道"" + 0.122*""螺絲"" + 0.119*""朵花"" + 0.117*""蟒蛇"""
16,"-0.456*""扳道"" + -0.285*""工說"" + 0.216*""地球"" + -0.171*""布娃娃"" + -0.169*""快車"" + -0.166*""旅客"" + -0.120*""孩子"" + -0.116*""你好"" + -0.114*""列車"" + -0.114*""追隨"""
17,"-0.186*""地方"" + 0.184*""說道"" + -0.176*""作品"" + 0.161*""打掃"" + -0.155*""大人"" + 0.125*""花兒"" + 0.119*""感到"" + -0.116*""吃掉"" + -0.113*""夜裡"" + -0.109*""帽子"""
18,"-0.207*""虛榮"" + 0.198*""作品"" + 0.183*""地球"" + 0.168*""打掃"" + -0.132*""地方"" + 0.132*""放在"" + 0.128*""蟒蛇"" + -0.126*""小羊"" + 0.119*""巨蟒"" + -0.116*""欽佩"""
19,"0.368*""飛機"" + 0.220*""拴住"" + 0.164*""小羊"" + 0.148*""玩藝兒"" + -0.147*""地球"" + 0.147*""沉思"" + 0.127*""很小"" + 0.116*""提出"" + -0.113*""沙漠"" + 0.111*""打掃"""
20,"-0.185*""吃掉"" + -0.173*""打掃"" + -0.158*""回來"" + 0.146*""飛機"" + -0.139*""玫瑰花"" + -0.130*""見到"" + -0.122*""玻璃罩"" + -0.121*""傾聽"" + -0.121*""地方"" + -0.118*""發生"""
21,"-0.637*""酒鬼"" + -0.276*""羞愧"" + -0.276*""喝酒"" + -0.276*""忘卻"" + -0.181*""訪問"" + -0.159*""問道"" + -0.151*""回答"" + -0.101*""憂鬱"" + -0.099*""憂傷"" + -0.099*""確實"""
22,"-0.328*""你好"" + -0.269*""孤獨"" + -0.198*""迴音"" + -0.167*""回答"" + 0.164*""地球"" + 0.156*""點燈"" + 0.149*""酒鬼"" + -0.143*""火山"" + 0.132*""南極"" + 0.132*""北極"""
23,"0.378*""日落"" + 0.288*""法國"" + -0.276*""你好"" + 0.202*""喜歡"" + 0.192*""夕陽西下"" + 0.192*""苦悶"" + -0.186*""孤獨"" + -0.164*""迴音"" + -0.115*""火山"" + 0.105*""唯一"""
24,"0.212*""日落"" + 0.176*""法國"" + 0.176*""你好"" + 0.164*""北極"" + 0.164*""南極"" + -0.158*""命令"" + 0.142*""點燈"" + 0.128*""朵花"" + -0.119*""星球"" + 0.117*""苦悶"""
25,"0.259*""孤獨"" + -0.249*""朵花"" + 0.203*""迴音"" + 0.203*""回答"" + -0.200*""死去"" + -0.199*""大路"" + -0.192*""獨一無二"" + 0.187*""你好"" + -0.175*""玫瑰花"" + -0.158*""說道"""
26,"0.464*""商人"" + 0.312*""每週"" + 0.312*""節約"" + 0.167*""你好"" + 0.163*""隨便"" + 0.156*""地向"" + 0.156*""止渴"" + 0.156*""口渴"" + 0.156*""藥丸"" + 0.156*""都行"""
27,"0.398*""花說"" + 0.244*""地方"" + 0.234*""你好"" + 0.203*""從來不"" + 0.200*""禮貌"" + 0.200*""風吹"" + 0.199*""駱駝"" + 0.199*""小花"" + 0.199*""不起眼"" + 0.199*""商隊"""
